Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
8/28/2023,181.960007,144.029999,864.299988,553.919983,105.370003,46.52,444.399994,70.370003,71.5,117.519997,135.179993,265.049988,94,87.339996,99.629997
8/29/2023,185.449997,146.699997,883.690002,553.900024,105.540001,47,446.290009,69.75,72.389999,117.660004,136.740005,268,95.080002,86.870003,101.769997
8/30/2023,187.100006,149.179993,878.559998,547.98999,105.739998,47.119999,442.100006,69.639999,71.650002,118.699997,137.389999,267.179993,94.779999,87.610001,102.099998
8/31/2023,195.229996,163.029999,848.299988,554.200012,104.160004,46.240002,434.25,70.5,72.300003,119.029999,136.25,267.359985,93.57,88.57,101.709999
9/1/2023,197.360001,161.229996,837.97998,557.109985,107.290001,46.279999,442.350006,71.370003,74.82,122.139999,137.330002,267.170013,93.190002,88.809998,102.360001
9/5/2023,197.460007,165.429993,812.5,558.190002,106.050003,44.889999,434.5,71.050003,73.57,122.830002,136.889999,266.290009,94.599998,87.709999,100.32
9/6/2023,197.539993,166.229996,786.52002,559.950012,106.639999,44.09,431.149994,70.150002,70.949997,123.07,134.130005,263.720001,92.260002,87.519997,100.18
9/7/2023,195.539993,166.639999,778.960022,573.22998,108.540001,43.41,428.25,70.730003,69.580002,121.709999,137.279999,261.339996,90.050003,87.559998,97.93
9/8/2023,196.470001,168.089996,793.559998,586.460022,108.639999,43.060001,434.019989,70.559998,69.93,122.720001,137.630005,258.98999,89.639999,88.650002,97.669998
9/11/2023,193.190002,172.289993,800.299988,595.559998,109.980003,42.779999,433.649994,70.540001,69.639999,120.440002,140.259995,258.920013,89.599998,89.360001,96.790001
9/12/2023,189.029999,169.679993,794.340027,599.299988,108.5,43.380001,424.799988,72.25,70.360001,123.080002,140.110001,258.440002,90.480003,94.660004,96.300003
9/13/2023,188.089996,168.470001,779.299988,598.880005,109.269997,43.5,427.589996,72.75,69.339996,122.309998,141.5,255.910004,91.220001,96.290001,96.129997
9/14/2023,187.559998,170.729996,795.460022,591.609985,112.459999,41.849998,435.049988,72.779999,70.18,124.5,143.119995,256.320007,91.470001,95.629997,97.190002
9/15/2023,184.720001,165.449997,806,575.659973,109.93,41.880001,438.399994,72.669998,69.82,123.57,141.929993,254.789993,89.25,95.970001,96.260002
9/18/2023,186.020004,166.970001,790.859985,571.280029,110.739998,41.5,430.359985,71.650002,68.860001,124.480003,140.809998,253.300003,88.830002,95.209999,95.510002
9/19/2023,184.830002,165.5,788.650024,574.960022,110.540001,40.27,423.399994,72.370003,68.870003,123.160004,142.470001,256.670013,88.169998,95.629997,94.620003
9/20/2023,182.75,163.889999,778.72998,569.640015,110.129997,39.099998,437.390015,71.709999,68.830002,121.169998,142.070007,260.529999,87.290001,94.209999,94.040001
